Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
76291,13,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,32.2,6,
76291,14,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,25.8,6,
76291,15,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,41.4,6,
76291,16,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,43.0,6,
76291,17,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,29.7,6,
76291,18,18,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-28,54.4,6,
76291,19,18,2019-02-03 00:00:00,2019-02-04 00:00:00,2019-01-28,158.4,6,
76291,20,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,69.5,6,
76291,21,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,193.2,6,
76291,22,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,55.2,6,
76291,23,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,45.5,6,
76291,24,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,39.0,6,
76291,25,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,18.4,6,
76291,26,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,39.6,6,
76291,27,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,23.0,6,
76291,28,18,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,13.0,6,
